bytes,horner,xx,sip,farm,fnv
1,16,21,21,29,2
2,17,23,22,30,2
4,17,21,24,32,3
8,17,21,25,38,5
16,18,24,29,51,11
32,22,29,38,122,30
64,29,33,57,183,75
128,41,42,95,253,165
256,65,60,168,397,344
512,114,96,316,675,667
1024,214,170,619,1246,1343
2048,406,307,1209,2366,2694
