bytes,xx,fnv,btree,btreenew,sip,farm,horner
1,14,37,9,14,15,14,18
2,28,33,18,23,30,29,38
4,57,65,34,37,57,56,72
8,108,107,63,71,117,92,136
16,185,163,121,128,192,102,205
32,273,227,225,249,295,154,366
64,456,319,397,431,449,211,540
128,695,428,651,705,550,309,766
256,911,466,908,988,680,375,932
512,996,491,1191,1294,751,426,982
1024,1188,504,1383,1467,797,440,1154
2048,1261,509,1478,1523,813,471,1198
