bytes,btreenew,btree,xx,farm,fnv,sip,horner
1,9,6,12,12,27,13,15
2,10,8,12,12,14,12,12
4,21,17,24,23,28,24,25
8,42,34,50,44,54,50,55
16,84,68,96,65,103,96,108
32,167,134,186,112,191,196,208
64,332,266,374,180,312,357,414
128,659,529,692,299,437,590,756
256,1284,1034,1268,427,549,851,1335
512,2438,1979,2103,524,638,1132,2125
1024,4673,3813,3245,596,690,1362,2952
2048,8962,7350,4427,643,720,1519,3717
