bytes,sip,fnv,farm,xx,btreenew,horner,btree
1,22,50,19,19,28,23,15
2,42,57,38,37,54,46,29
4,73,103,72,74,89,88,57
8,146,155,117,136,169,163,108
16,243,226,124,235,287,262,202
32,347,272,173,341,459,430,327
64,495,360,267,538,695,595,535
128,626,463,365,799,988,857,820
256,722,510,461,1033,1270,1064,1122
512,816,533,533,1190,1501,1246,1374
1024,842,544,579,1236,1610,1165,1536
2048,862,546,579,1347,1652,1357,1622
