bytes,sip,farm,horner,btree,xx,fnv,btreenew
1,18,16,20,9,17,39,13
2,17,16,16,10,16,20,14
4,33,32,33,21,33,38,28
8,67,61,68,43,67,73,56
16,130,87,133,85,134,133,113
32,263,144,289,171,266,252,224
64,468,263,561,339,527,382,444
128,743,401,1058,677,981,521,882
256,1046,570,1872,1325,1738,633,1720
512,1315,719,3021,2556,2823,712,3272
1024,1510,831,4338,4941,4098,761,6233
2048,1648,843,5560,9574,5373,788,11974
