bytes,fnv,sip,farm,horner,xx
1,1000,58,45,66,55
2,2000,111,86,133,111
4,2000,210,153,266,235
8,2666,400,258,533,444
16,2000,666,372,1000,800
32,1523,1000,307,1684,1523
64,1185,1306,400,2909,2666
128,977,1542,460,4571,4129
256,879,1651,711,5953,5446
512,850,1759,828,7013,6649
1024,835,1793,597,7699,7366
2048,829,1810,609,7787,7613
