bytes,sip,fnv,farm,horner,xx,btreenew,btree
1,16,41,15,20,16,25,12
2,32,45,31,40,31,49,25
4,59,86,61,77,63,81,48
8,115,135,102,144,118,153,93
16,194,188,110,233,203,259,171
32,286,236,157,387,298,414,283
64,404,316,235,535,466,629,459
128,518,415,324,763,695,895,712
256,615,460,411,950,886,1144,976
512,629,482,478,1102,1025,1358,1208
1024,700,493,519,1035,1021,1459,1373
2048,714,495,520,1112,1019,1509,1466
