bytes,fnv,sip,farm,xx,horner
1,1,23,27,20,17
2,2,25,28,21,17
4,2,27,32,19,17
8,4,28,37,20,17
16,10,33,50,22,18
32,25,45,124,26,21
64,65,68,178,31,25
128,154,113,263,42,35
256,331,210,411,65,53
512,673,387,699,109,89
1024,1362,752,1274,198,165
2048,2734,1481,3697,377,311
