bytes,farm,xx,btree,fnv,horner,btreenew,sip
1,14,14,8,32,17,11,14
2,14,14,9,16,14,12,14
4,28,28,19,33,28,25,28
8,52,59,38,63,58,50,55
16,74,111,76,116,112,100,104
32,125,226,151,220,245,200,212
64,227,430,301,330,485,397,365
128,344,797,600,456,899,787,576
256,497,1377,1180,566,1582,1532,816
512,635,2193,2272,641,2543,2921,1009
1024,736,3123,4405,687,3634,5593,1165
2048,753,4030,8562,712,4765,10741,1269
