bytes,btree,fnv,xx,farm,horner,btreenew,sip
1,7,23,9,9,13,13,12
2,15,26,18,18,26,26,24
4,30,51,36,35,47,48,46
8,56,84,70,61,91,89,91
16,107,129,126,68,153,162,157
32,193,176,193,97,263,287,251
64,322,232,315,153,384,438,365
128,477,301,456,196,516,596,451
256,623,327,575,238,614,725,530
512,724,340,642,265,678,790,568
1024,772,343,677,278,680,804,588
2048,811,337,641,282,638,823,561
