bytes,fnv,xx,horner,sip,farm
1,2,33,23,23,49
2,4,34,24,26,53
4,4,32,24,28,58
8,11,33,23,27,67
16,26,37,27,31,89
32,56,46,38,40,208
64,125,54,49,57,287
128,245,69,65,97,458
256,486,104,98,166,753
512,966,165,172,304,1322
1024,1928,285,303,581,2484
2048,3873,526,568,1136,4799
