bytes,farm,xx,btreenew,horner,btree,fnv,sip
1,8,9,9,10,6,18,10
2,8,8,10,9,7,10,9
4,16,17,20,18,14,21,19
8,31,33,40,45,28,40,37
16,43,66,81,85,57,75,73
32,75,152,160,169,114,159,170
64,138,287,314,326,225,238,316
128,203,533,627,583,447,335,522
256,278,920,1212,974,868,415,791
512,336,1405,2344,1511,1688,471,1073
1024,378,1679,3932,1692,2967,501,1219
2048,393,1853,5976,1906,4800,516,1333
