bytes,fnv,btree,btreenew,horner,sip,xx,farm
1,37,5,14,18,15,14,14
2,33,18,23,38,29,28,29
4,65,34,37,72,57,57,55
8,107,63,71,138,117,108,88
16,163,121,128,204,191,185,103
32,227,224,249,366,296,272,151
64,316,397,430,541,449,455,210
128,428,658,704,767,550,695,310
256,463,909,987,934,680,909,376
512,491,1190,1291,984,751,992,426
1024,503,1395,1467,1156,797,1179,440
2048,509,1495,1525,1198,813,1255,471
