bytes,sip,horner,xx,fnv,farm
1,47,58,47,500,35
2,90,117,86,1000,66
4,166,235,190,1333,125
8,320,470,380,1600,210
16,551,888,666,1454,313
32,820,1454,1103,1066,262
64,1122,2206,1939,864,349
128,1347,3121,3047,780,505
256,1523,3878,4338,744,644
512,1620,4452,5278,767,751
1024,1654,4923,5752,762,822
2048,1693,5031,6501,759,864
