bytes,sip,btree,btreenew,horner,xx,fnv,farm
1,13,6,9,15,12,27,12
2,12,8,10,12,12,14,12
4,25,16,21,24,24,28,23
8,49,33,42,51,53,55,46
16,95,67,84,98,105,102,69
32,197,133,168,210,190,196,112
64,352,264,332,424,369,308,194
128,587,526,662,772,705,438,309
256,851,1029,1288,1344,1258,552,428
512,1145,1984,2465,2128,2122,638,528
1024,1363,3830,4751,2981,3143,691,599
2048,1517,7387,9140,3743,4319,720,643
